wals code	name	value	description	latitude	longitude	genus	family	area
xam	/Xam	1	Identity	-31.0	21.0	Tu	Tu	Nominal Categories
abk	Abkhaz	2	Differentiation	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
acg	Achagua	2	Differentiation	4.41666666667	-72.25	Japura-Colombia	Arawakan	Nominal Categories
acl	Acholi	1	Identity	3.0	32.6666666667	Western Nilotic	Eastern Sudanic	Nominal Categories
aco	Acoma	2	Differentiation	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Categories
afr	Afrikaans	1	Identity	-31.0	22.0	Germanic	Indo-European	Nominal Categories
ain	Ainu	2	Differentiation	43.0	143.0	Ainu	Ainu	Nominal Categories
ala	Alamblak	2	Differentiation	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
alb	Albanian	1	Identity	41.0	20.0	Albanian	Indo-European	Nominal Categories
ale	Aleut	3	Mixed	54.0	-166.0	Aleut	Eskimo-Aleut	Nominal Categories
aly	Alyawarra	2	Differentiation	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
ame	Amele	2	Differentiation	-5.25	145.583333333	Mabuso	Trans-New Guinea	Nominal Categories
adk	Andoke	1	Identity	-0.666666666667	-72.0	Andoke	Andoke	Nominal Categories
agt	Anguthimri	2	Differentiation	-12.3333333333	141.833333333	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
aeg	Arabic (Egyptian)	2	Differentiation	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
arg	Arabic (Gulf)	2	Differentiation	26.0	49.0	Semitic	Afro-Asiatic	Nominal Categories
arp	Arapesh (Mountain)	2	Differentiation	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Nominal Categories
arm	Armenian (Eastern)	2	Differentiation	40.0	45.0	Armenian	Indo-European	Nominal Categories
arr	Arrernte	2	Differentiation	-24.0	134.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
auy	Auyana	2	Differentiation	-6.5	145.75	Gauwa	Trans-New Guinea	Nominal Categories
ava	Avar	2	Differentiation	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
awt	Awtuw	1	Identity	-3.58333333333	142.0	Ram	Sepik	Nominal Categories
aym	Aymara (Central)	1	Identity	-17.0	-69.0	Aymaran	Aymaran	Nominal Categories
bag	Bagirmi	2	Differentiation	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
bak	Baka (in Cameroon)	1	Identity	2.58333333333	13.5833333333	Ubangi	Niger-Congo	Nominal Categories
bam	Bambara	3	Mixed	12.5	-7.5	Western Mande	Mande	Nominal Categories
brs	Barasano	1	Identity	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Nominal Categories
bar	Bari	1	Identity	5.0	31.6666666667	Eastern Nilotic	Eastern Sudanic	Nominal Categories
bsq	Basque	2	Differentiation	43.0	-3.0	Basque	Basque	Nominal Categories
bma	Berber (Middle Atlas)	2	Differentiation	33.0	-5.0	Berber	Afro-Asiatic	Nominal Categories
bou	Berber (Wargla)	2	Differentiation	31.9166666667	5.33333333333	Berber	Afro-Asiatic	Nominal Categories
bkl	Bikol	1	Identity	13.3333333333	123.5	Greater Central Philippine	Austronesian	Nominal Categories
bnm	Binumarien	2	Differentiation	-6.28333333333	146.083333333	Tairora	Trans-New Guinea	Nominal Categories
bis	Bisa	2	Differentiation	11.5	-0.5	Eastern Mande	Mande	Nominal Categories
bla	Blackfoot	2	Differentiation	50.0	-112.666666667	Algonquian	Algic	Nominal Categories
brh	Brahui	2	Differentiation	28.5	67.0	Dravidian	Dravidian	Nominal Categories
bre	Breton	1	Identity	48.0	-3.0	Celtic	Indo-European	Nominal Categories
bur	Burushaski	2	Differentiation	36.5	74.5	Burushaski	Burushaski	Nominal Categories
car	Carib	2	Differentiation	5.5	-56.0	Cariban	Cariban	Nominal Categories
