wals code	name	value	description	latitude	longitude	genus	family	area
abu	Abun	2	Formally similar, without interrogative	-0.5	132.5	Abun	Abun	Nominal Categories
ain	Ainu	3	Formally similar, with interrogative	43.0	143.0	Ainu	Ainu	Nominal Categories
ame	Amele	2	Formally similar, without interrogative	-5.25	145.583333333	Mabuso	Trans-New Guinea	Nominal Categories
arn	Arabic (Borno Nigerian)	3	Formally similar, with interrogative	8.58333333333	12.4166666667	Semitic	Afro-Asiatic	Nominal Categories
amr	Arabic (Moroccan)	1	Formally different	34.0	-6.0	Semitic	Afro-Asiatic	Nominal Categories
arm	Armenian (Eastern)	1	Formally different	40.0	45.0	Armenian	Indo-European	Nominal Categories
ath	Athpare	3	Formally similar, with interrogative	27.0	87.3333333333	Himalayish	Sino-Tibetan	Nominal Categories
bgv	Bagvalal	3	Formally similar, with interrogative	42.5833333333	46.1666666667	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
bae	Baré	1	Formally different	1.0	-67.0	Japura-Colombia	Arawakan	Nominal Categories
bsk	Bashkir	2	Formally similar, without interrogative	53.0	58.0	Turkic	Altaic	Nominal Categories
bsq	Basque	1	Formally different	43.0	-3.0	Basque	Basque	Nominal Categories
bkr	Batak (Karo)	2	Formally similar, without interrogative	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
beg	Begak-Ida'an	3	Formally similar, with interrogative	5.25	118.833333333	North Borneo	Austronesian	Nominal Categories
bel	Belhare	3	Formally similar, with interrogative	26.9666666667	87.3	Himalayish	Sino-Tibetan	Nominal Categories
brh	Brahui	1	Formally different	28.5	67.0	Dravidian	Dravidian	Nominal Categories
but	Buriat	3	Formally similar, with interrogative	52.0	108.0	Mongolic	Altaic	Nominal Categories
brm	Burmese	3	Formally similar, with interrogative	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Nominal Categories
cnt	Cantonese	3	Formally similar, with interrogative	23.0	113.0	Chinese	Sino-Tibetan	Nominal Categories
chk	Chukchi	2	Formally similar, without interrogative	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
drg	Dargwa	3	Formally similar, with interrogative	42.25	47.4166666667	Dargwic	Nakh-Daghestanian	Nominal Categories
dut	Dutch	2	Formally similar, without interrogative	52.5	6.0	Germanic	Indo-European	Nominal Categories
eng	English	2	Formally similar, without interrogative	52.0	0.0	Germanic	Indo-European	Nominal Categories
epe	Epena Pedee	1	Formally different	3.0	-77.0	Choco	Choco	Nominal Categories
eve	Evenki	3	Formally similar, with interrogative	56.0	125.0	Tungusic	Altaic	Nominal Categories
fin	Finnish	3	Formally similar, with interrogative	62.0	25.0	Finnic	Uralic	Nominal Categories
fre	French	1	Formally different	48.0	2.0	Romance	Indo-European	Nominal Categories
gaa	Gaagudju	1	Formally different	-12.5833333333	132.833333333	Gaagudju	Gaagudju	Nominal Categories
geo	Georgian	1	Formally different	42.0	44.0	Kartvelian	Kartvelian	Nominal Categories
goo	Gooniyandi	2	Formally similar, without interrogative	-18.3333333333	126.333333333	Bunuban	Bunuban	Nominal Categories
hai	Haida	1	Formally different	53.0	-132.0	Haida	Haida	Nominal Categories
hsl	Haisla	2	Formally similar, without interrogative	54.0	-128.75	Northern Wakashan	Wakashan	Nominal Categories
heb	Hebrew (Modern)	2	Formally similar, without interrogative	31.5	34.8333333333	Semitic	Afro-Asiatic	Nominal Categories
hin	Hindi	3	Formally similar, with interrogative	25.0	77.0	Indic	Indo-European	Nominal Categories
hix	Hixkaryana	1	Formally different	-1.0	-59.0	Cariban	Cariban	Nominal Categories
hun	Hungarian	2	Formally similar, without interrogative	47.0	20.0	Ugric	Uralic	Nominal Categories
