wals code	name	value	description	latitude	longitude	genus	family	area
aar	Aari	3	Definite affix	6.0	36.5833333333	South Omotic	Afro-Asiatic	Nominal Categories
abk	Abkhaz	1	Definite word distinct from demonstrative	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
abu	Abun	2	Demonstrative word used as definite article	-0.5	132.5	Abun	Abun	Nominal Categories
ace	Acehnese	5	No definite or indefinite article	5.5	95.5	Malayo-Sumbawan	Austronesian	Nominal Categories
acl	Acholi	3	Definite affix	3.0	32.6666666667	Western Nilotic	Eastern Sudanic	Nominal Categories
aco	Acoma	5	No definite or indefinite article	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Categories
adg	Adang	2	Demonstrative word used as definite article	-8.2	124.0	Alor-Pantar	Greater West Bomberai	Nominal Categories
adi	Adioukrou	1	Definite word distinct from demonstrative	5.41666666667	-4.58333333333	Agneby	Niger-Congo	Nominal Categories
ady	Adyghe (Abzakh)	3	Definite affix	45.2333333333	40.5833333333	Northwest Caucasian	Northwest Caucasian	Nominal Categories
agc	Agta (Central)	3	Definite affix	17.9666666667	121.833333333	Greater Central Philippine	Austronesian	Nominal Categories
akn	Akan	2	Demonstrative word used as definite article	6.5	-1.25	Tano	Niger-Congo	Nominal Categories
ala	Alamblak	1	Definite word distinct from demonstrative	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
alb	Albanian	3	Definite affix	41.0	20.0	Albanian	Indo-European	Nominal Categories
aln	Alune	5	No definite or indefinite article	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	Nominal Categories
amc	Amahuaca	5	No definite or indefinite article	-10.5	-72.5	Panoan	Pano-Tacanan	Nominal Categories
amn	Amanab	5	No definite or indefinite article	-3.58333333333	141.25	Border	Border	Nominal Categories
amq	Ambai	1	Definite word distinct from demonstrative	-1.83333333333	136.5	South Halmahera - West New Guinea	Austronesian	Nominal Categories
amb	Ambulas	5	No definite or indefinite article	-3.83333333333	143.0	Ndu	Sepik	Nominal Categories
ame	Amele	4	No definite, but indefinite article	-5.25	145.583333333	Mabuso	Trans-New Guinea	Nominal Categories
amh	Amharic	1	Definite word distinct from demonstrative	10.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
anj	Anejom	3	Definite affix	-20.2	169.8	Oceanic	Austronesian	Nominal Categories
agm	Angami	1	Definite word distinct from demonstrative	25.6666666667	94.5	Angami-Pochuri	Sino-Tibetan	Nominal Categories
ang	Anggor	5	No definite or indefinite article	-3.75	141.166666667	Senagi	Senagi	Nominal Categories
anu	Anufo	1	Definite word distinct from demonstrative	10.0833333333	0.25	Tano	Niger-Congo	Nominal Categories
any	Anywa	5	No definite or indefinite article	8.0	33.5	Western Nilotic	Eastern Sudanic	Nominal Categories
ao	Ao	2	Demonstrative word used as definite article	26.5833333333	94.6666666667	Central Naga	Sino-Tibetan	Nominal Categories
apw	Apache (Western)	3	Definite affix	33.75	-110.0	Athapaskan	Na-Dene	Nominal Categories
apl	Apalaí	5	No definite or indefinite article	0.0	-54.0	Cariban	Cariban	Nominal Categories
apu	Apurinã	5	No definite or indefinite article	-9.0	-67.0	Purus	Arawakan	Nominal Categories
aeg	Arabic (Egyptian)	3	Definite affix	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
arg	Arabic (Gulf)	3	Definite affix	26.0	49.0	Semitic	Afro-Asiatic	Nominal Categories
arq	Arabic (Iraqi)	3	Definite affix	33.0	44.0	Semitic	Afro-Asiatic	Nominal Categories
arj	Arabic (Kuwaiti)	3	Definite affix	29.5	47.5	Semitic	Afro-Asiatic	Nominal Categories
ams	Arabic (Modern Standard)	3	Definite affix	25.0	42.0	Semitic	Afro-Asiatic	Nominal Categories
amr	Arabic (Moroccan)	3	Definite affix	34.0	-6.0	Semitic	Afro-Asiatic	Nominal Categories
asy	Arabic (Syrian)	3	Definite affix	34.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
ana	Araona	5	No definite or indefinite article	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Nominal Categories
arc	Archi	2	Demonstrative word used as definite article	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Nominal Categories
arm	Armenian (Eastern)	3	Definite affix	40.0	45.0	Armenian	Indo-European	Nominal Categories
arw	Armenian (Western)	3	Definite affix	38.5	43.5	Armenian	Indo-European	Nominal Categories
aro	Arosi	1	Definite word distinct from demonstrative	-10.25	161.333333333	Oceanic	Austronesian	Nominal Categories
amp	Arrernte (Mparntwe)	1	Definite word distinct from demonstrative	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
asm	Asmat	2	Demonstrative word used as definite article	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Nominal Categories
ata	Atayal	1	Definite word distinct from demonstrative	24.5	121.333333333	Atayalic	Austronesian	Nominal Categories
ats	Atsugewi	3	Definite affix	40.75	-121.0	Atsugewi	Hokan	Nominal Categories
au	Au	5	No definite or indefinite article	-3.58333333333	142.083333333	Central Wapei	Torricelli	Nominal Categories
avk	Avikam	3	Definite affix	5.16666666667	-5.5	Avikam-Alladian	Niger-Congo	Nominal Categories
awp	Awa Pit	5	No definite or indefinite article	1.5	-78.25	Barbacoan	Barbacoan	Nominal Categories
awt	Awtuw	1	Definite word distinct from demonstrative	-3.58333333333	142.0	Ram	Sepik	Nominal Categories
azi	Azari (Iranian)	4	No definite, but indefinite article	37.5	47.0	Turkic	Altaic	Nominal Categories
bab	Babungo	1	Definite word distinct from demonstrative	6.11666666667	10.4166666667	Wide Grassfields	Niger-Congo	Nominal Categories
bfi	Bafia	1	Definite word distinct from demonstrative	5.0	11.1666666667	Bantu	Niger-Congo	Nominal Categories
bag	Bagirmi	1	Definite word distinct from demonstrative	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
bgr	Bagiro	1	Definite word distinct from demonstrative	4.33333333333	20.5833333333	Bongo-Bagirmi	Central Sudanic	Nominal Categories
baj	Bajau (Sama)	2	Demonstrative word used as definite article	-4.33333333333	123.0	Sama-Bajaw	Austronesian	Nominal Categories
bwc	Bajau (West Coast)	2	Demonstrative word used as definite article	6.33333333333	116.333333333	Sama-Bajaw	Austronesian	Nominal Categories
bak	Baka (in Cameroon)	1	Definite word distinct from demonstrative	2.58333333333	13.5833333333	Ubangi	Niger-Congo	Nominal Categories
blz	Balanta	1	Definite word distinct from demonstrative	12.25	-15.3333333333	Balanta	Niger-Congo	Nominal Categories
bvi	Bali-Vitu	2	Demonstrative word used as definite article	-4.9	149.116666667	Oceanic	Austronesian	Nominal Categories
blt	Balti	3	Definite affix	35.0	76.0	Bodic	Sino-Tibetan	Nominal Categories
bam	Bambara	1	Definite word distinct from demonstrative	12.5	-7.5	Western Mande	Mande	Nominal Categories
bbu	Barambu	2	Demonstrative word used as definite article	3.5	27.0	Ubangi	Niger-Congo	Nominal Categories
bar	Bari	5	No definite or indefinite article	5.0	31.6666666667	Eastern Nilotic	Eastern Sudanic	Nominal Categories
brp	Barupu	1	Definite word distinct from demonstrative	-3.08333333333	142.083333333	Warapu	Skou	Nominal Categories
bsk	Bashkir	5	No definite or indefinite article	53.0	58.0	Turkic	Altaic	Nominal Categories
bsq	Basque	1	Definite word distinct from demonstrative	43.0	-3.0	Basque	Basque	Nominal Categories
bkr	Batak (Karo)	3	Definite affix	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
bto	Batak (Toba)	5	No definite or indefinite article	2.5	99.0	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
baq	Baure	1	Definite word distinct from demonstrative	-13.0833333333	-64.1666666667	Bolivia-Parana	Arawakan	Nominal Categories
baw	Bawm	5	No definite or indefinite article	22.5	92.25	Kuki-Chin	Sino-Tibetan	Nominal Categories
bej	Beja	3	Definite affix	18.0	36.0	Beja	Afro-Asiatic	Nominal Categories
bco	Bella Coola	1	Definite word distinct from demonstrative	52.5	-126.666666667	Bella Coola	Salishan	Nominal Categories
bfg	Berber (Figuig)	5	No definite or indefinite article	32.5	-1.5	Berber	Afro-Asiatic	Nominal Categories
brf	Berber (Rif)	1	Definite word distinct from demonstrative	34.5	-4.0	Berber	Afro-Asiatic	Nominal Categories
bsi	Berber (Siwa)	5	No definite or indefinite article	29.1666666667	25.5	Berber	Afro-Asiatic	Nominal Categories
zag	Beria	1	Definite word distinct from demonstrative	16.0	23.0	Eastern Saharan	Saharan	Nominal Categories
bik	Biak	1	Definite word distinct from demonstrative	-1.0	136.0	South Halmahera - West New Guinea	Austronesian	Nominal Categories
bil	Bilua	2	Demonstrative word used as definite article	-7.75	156.666666667	Bilua	Solomons East Papuan	Nominal Categories
bmb	Bimoba	1	Definite word distinct from demonstrative	10.5	0.0	Oti-Volta	Niger-Congo	Nominal Categories
bin	Binandere	2	Demonstrative word used as definite article	-8.25	148.0	Binanderean	Trans-New Guinea	Nominal Categories
bni	Bini	5	No definite or indefinite article	6.41666666667	5.83333333333	Edoid	Niger-Congo	Nominal Categories
bbw	Bininj Gun-Wok	2	Demonstrative word used as definite article	-12.5	133.75	Marne	Gunwinyguan	Nominal Categories
bir	Birom	1	Definite word distinct from demonstrative	9.66666666667	8.83333333333	Benue-Congo Plateau	Niger-Congo	Nominal Categories
bla	Blackfoot	3	Definite affix	50.0	-112.666666667	Algonquian	Algic	Nominal Categories
