wals code	name	value	description	latitude	longitude	genus	family	area
xam	/Xam	2	Double-object construction	-31.0	21.0	Tu	Tu	Simple Clauses
abk	Abkhaz	1	Indirect-object construction	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Simple Clauses
abu	Abun	1	Indirect-object construction	-0.5	132.5	Abun	Abun	Simple Clauses
ace	Acehnese	4	Mixed	5.5	95.5	Malayo-Sumbawan	Austronesian	Simple Clauses
ain	Ainu	3	Secondary-object construction	43.0	143.0	Ainu	Ainu	Simple Clauses
akn	Akan	2	Double-object construction	6.5	-1.25	Tano	Niger-Congo	Simple Clauses
akw	Akawaio	3	Secondary-object construction	6.0	-59.5	Cariban	Cariban	Simple Clauses
akh	Akha	1	Indirect-object construction	21.8333333333	99.8333333333	Burmese-Lolo	Sino-Tibetan	Simple Clauses
all	Ala'ala	3	Secondary-object construction	-8.91666666667	146.75	Oceanic	Austronesian	Simple Clauses
ala	Alamblak	3	Secondary-object construction	-4.66666666667	143.333333333	Sepik Hill	Sepik	Simple Clauses
ale	Aleut	1	Indirect-object construction	54.0	-166.0	Aleut	Eskimo-Aleut	Simple Clauses
aly	Alyawarra	4	Mixed	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Simple Clauses
aml	Ambae (Lolovoli Northeast)	1	Indirect-object construction	-15.4166666667	167.883333333	Oceanic	Austronesian	Simple Clauses
ame	Amele	1	Indirect-object construction	-5.25	145.583333333	Mabuso	Trans-New Guinea	Simple Clauses
amh	Amharic	2	Double-object construction	10.0	38.0	Semitic	Afro-Asiatic	Simple Clauses
ano	Anong	1	Indirect-object construction	27.3333333333	98.75	Nungish	Sino-Tibetan	Simple Clauses
apu	Apurinã	4	Mixed	-9.0	-67.0	Purus	Arawakan	Simple Clauses
aeg	Arabic (Egyptian)	4	Mixed	30.0	31.0	Semitic	Afro-Asiatic	Simple Clauses
ana	Araona	2	Double-object construction	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Simple Clauses
alk	Arop-Lokep	1	Indirect-object construction	-5.38333333333	147.05	Oceanic	Austronesian	Simple Clauses
amp	Arrernte (Mparntwe)	4	Mixed	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Simple Clauses
awp	Awa Pit	1	Indirect-object construction	1.5	-78.25	Barbacoan	Barbacoan	Simple Clauses
bab	Babungo	4	Mixed	6.11666666667	10.4166666667	Wide Grassfields	Niger-Congo	Simple Clauses
bdm	Badimaya	1	Indirect-object construction	-27.6666666667	118.0	Western Pama-Nyungan	Pama-Nyungan	Simple Clauses
bag	Bagirmi	1	Indirect-object construction	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Simple Clauses
bai	Bai	1	Indirect-object construction	26.0	100.0	Macro-Bai	Sino-Tibetan	Simple Clauses
baj	Bajau (Sama)	2	Double-object construction	-4.33333333333	123.0	Sama-Bajaw	Austronesian	Simple Clauses
bak	Baka (in Cameroon)	1	Indirect-object construction	2.58333333333	13.5833333333	Ubangi	Niger-Congo	Simple Clauses
bnn	Banoni	3	Secondary-object construction	-6.41666666667	155.25	Oceanic	Austronesian	Simple Clauses
brs	Barasano	3	Secondary-object construction	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Simple Clauses
bae	Baré	1	Indirect-object construction	1.0	-67.0	Japura-Colombia	Arawakan	Simple Clauses
bsq	Basque	1	Indirect-object construction	43.0	-3.0	Basque	Basque	Simple Clauses
bzi	Bauzi	1	Indirect-object construction	-2.5	137.5	Geelvink Bay	Geelvink Bay	Simple Clauses
baw	Bawm	4	Mixed	22.5	92.25	Kuki-Chin	Sino-Tibetan	Simple Clauses
