wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	Verbal constructions	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Verbal Categories
ace	Acehnese	1	Verbal constructions	5.5	95.5	Malayo-Sumbawan	Austronesian	Verbal Categories
aco	Acoma	2	Affixes on verbs	34.9166666667	-107.583333333	Keresan	Keresan	Verbal Categories
ain	Ainu	3	Other	43.0	143.0	Ainu	Ainu	Verbal Categories
akn	Akan	3	Other	6.5	-1.25	Tano	Niger-Congo	Verbal Categories
alb	Albanian	1	Verbal constructions	41.0	20.0	Albanian	Indo-European	Verbal Categories
ame	Amele	3	Other	-5.25	145.583333333	Mabuso	Trans-New Guinea	Verbal Categories
amh	Amharic	1	Verbal constructions	10.0	38.0	Semitic	Afro-Asiatic	Verbal Categories
apu	Apurinã	2	Affixes on verbs	-9.0	-67.0	Purus	Arawakan	Verbal Categories
aeg	Arabic (Egyptian)	1	Verbal constructions	30.0	31.0	Semitic	Afro-Asiatic	Verbal Categories
arg	Arabic (Gulf)	1	Verbal constructions	26.0	49.0	Semitic	Afro-Asiatic	Verbal Categories
amr	Arabic (Moroccan)	1	Verbal constructions	34.0	-6.0	Semitic	Afro-Asiatic	Verbal Categories
ana	Araona	2	Affixes on verbs	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Verbal Categories
arm	Armenian (Eastern)	3	Other	40.0	45.0	Armenian	Indo-European	Verbal Categories
asm	Asmat	2	Affixes on verbs	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Verbal Categories
awp	Awa Pit	2	Affixes on verbs	1.5	-78.25	Barbacoan	Barbacoan	Verbal Categories
aym	Aymara (Central)	3	Other	-17.0	-69.0	Aymaran	Aymaran	Verbal Categories
bab	Babungo	3	Other	6.11666666667	10.4166666667	Wide Grassfields	Niger-Congo	Verbal Categories
bal	Balinese	3	Other	-8.33333333333	115.25	Malayo-Sumbawan	Austronesian	Verbal Categories
bam	Bambara	1	Verbal constructions	12.5	-7.5	Western Mande	Mande	Verbal Categories
brs	Barasano	3	Other	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Verbal Categories
bsq	Basque	2	Affixes on verbs	43.0	-3.0	Basque	Basque	Verbal Categories
bkr	Batak (Karo)	3	Other	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Verbal Categories
bto	Batak (Toba)	3	Other	2.5	99.0	Northwest Sumatra-Barrier Islands	Austronesian	Verbal Categories
bej	Beja	3	Other	18.0	36.0	Beja	Afro-Asiatic	Verbal Categories
brh	Brahui	2	Affixes on verbs	28.5	67.0	Dravidian	Dravidian	Verbal Categories
bri	Bribri	2	Affixes on verbs	9.41666666667	-83.0	Western Isthmic Chibchan	Chibchan	Verbal Categories
brm	Burmese	3	Other	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Verbal Categories
bur	Burushaski	2	Affixes on verbs	36.5	74.5	Burushaski	Burushaski	Verbal Categories
bet	Bété	1	Verbal constructions	6.25	-6.25	Kru	Niger-Congo	Verbal Categories
cah	Cahuilla	3	Other	33.5	-116.25	Northern Uto-Aztecan	Uto-Aztecan	Verbal Categories
cnl	Canela	3	Other	-7.0	-45.0	Je Setentrional	Macro-Ge	Verbal Categories
cnt	Cantonese	3	Other	23.0	113.0	Chinese	Sino-Tibetan	Verbal Categories
ctl	Catalan	1	Verbal constructions	41.75	2.0	Romance	Indo-European	Verbal Categories
cyv	Cayuvava	2	Affixes on verbs	-13.5	-65.5	Cayuvava	Cayuvava	Verbal Categories
cha	Chamorro	3	Other	13.45	144.75	Chamorro	Austronesian	Verbal Categories
chk	Chukchi	3	Other	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Verbal Categories
chv	Chuvash	2	Affixes on verbs	55.5	47.5	Turkic	Altaic	Verbal Categories
cmn	Comanche	2	Affixes on verbs	33.5	-101.5	Northern Uto-Aztecan	Uto-Aztecan	Verbal Categories
coo	Coos (Hanis)	3	Other	43.5	-124.166666667	Coosan	Oregon Coast	Verbal Categories
cre	Cree (Plains)	2	Affixes on verbs	54.0	-110.0	Algonquian	Algic	Verbal Categories
dag	Daga	2	Affixes on verbs	-10.0	149.333333333	Dagan	Trans-New Guinea	Verbal Categories
dni	Dani (Lower Grand Valley)	2	Affixes on verbs	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Verbal Categories
dsh	Danish	1	Verbal constructions	56.0	10.0	Germanic	Indo-European	Verbal Categories
die	Diegueño (Mesa Grande)	2	Affixes on verbs	32.6666666667	-116.166666667	Yuman	Hokan	Verbal Categories
dre	Drehu	3	Other	-21.0	167.25	Oceanic	Austronesian	Verbal Categories
dut	Dutch	1	Verbal constructions	52.5	6.0	Germanic	Indo-European	Verbal Categories
eka	Ekari	2	Affixes on verbs	-3.83333333333	135.5	Paniai Lakes	Trans-New Guinea	Verbal Categories
eng	English	1	Verbal constructions	52.0	0.0	Germanic	Indo-European	Verbal Categories
epe	Epena Pedee	2	Affixes on verbs	3.0	-77.0	Choco	Choco	Verbal Categories
eve	Evenki	2	Affixes on verbs	56.0	125.0	Tungusic	Altaic	Verbal Categories
ewe	Ewe	1	Verbal constructions	6.33333333333	0.416666666667	Gbe	Niger-Congo	Verbal Categories
far	Faroese	1	Verbal constructions	62.0	-7.0	Germanic	Indo-European	Verbal Categories
fij	Fijian	3	Other	-17.8333333333	178.0	Oceanic	Austronesian	Verbal Categories
fin	Finnish	1	Verbal constructions	62.0	25.0	Finnic	Uralic	Verbal Categories
fre	French	1	Verbal constructions	48.0	2.0	Romance	Indo-European	Verbal Categories
fua	Fulfulde (Adamawa)	2	Affixes on verbs	9.16666666667	13.5	Peul-Serer	Niger-Congo	Verbal Categories
