wals code	name	value	description	latitude	longitude	genus	family	area
ani	//Ani	1	In 3rd person + 1st and/or 2nd person	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Nominal Categories
abi	Abipón	6	No gender distinctions	-29.0	-61.0	Abipon	Guaicuruan	Nominal Categories
abk	Abkhaz	1	In 3rd person + 1st and/or 2nd person	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
abu	Abun	3	3rd person singular only	-0.5	132.5	Abun	Abun	Nominal Categories
ace	Acehnese	6	No gender distinctions	5.5	95.5	Malayo-Sumbawan	Austronesian	Nominal Categories
acm	Achumawi	6	No gender distinctions	41.5	-121.0	Achumawi	Hokan	Nominal Categories
adz	Adzera	6	No gender distinctions	-6.25	146.25	Oceanic	Austronesian	Nominal Categories
ain	Ainu	6	No gender distinctions	43.0	143.0	Ainu	Ainu	Nominal Categories
ala	Alamblak	3	3rd person singular only	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
alb	Albanian	2	3rd person only, but also non-singular	41.0	20.0	Albanian	Indo-European	Nominal Categories
ame	Amele	6	No gender distinctions	-5.25	145.583333333	Mabuso	Trans-New Guinea	Nominal Categories
amh	Amharic	1	In 3rd person + 1st and/or 2nd person	10.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
amu	Amuesha	6	No gender distinctions	-10.5	-75.4166666667	Yanesha'	Arawakan	Nominal Categories
anj	Anejom	6	No gender distinctions	-20.2	169.8	Oceanic	Austronesian	Nominal Categories
ane	Anêm	3	3rd person singular only	-5.58333333333	149.083333333	Anêm	Anêm	Nominal Categories
apu	Apurinã	3	3rd person singular only	-9.0	-67.0	Purus	Arawakan	Nominal Categories
abn	Arabana	6	No gender distinctions	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
aeg	Arabic (Egyptian)	1	In 3rd person + 1st and/or 2nd person	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
ana	Araona	6	No gender distinctions	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Nominal Categories
arp	Arapesh (Mountain)	2	3rd person only, but also non-singular	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Nominal Categories
arm	Armenian (Eastern)	6	No gender distinctions	40.0	45.0	Armenian	Indo-European	Nominal Categories
asm	Asmat	6	No gender distinctions	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Nominal Categories
atk	Atakapa	6	No gender distinctions	30.0	-93.5	Atakapa	Atakapa	Nominal Categories
ata	Atayal	6	No gender distinctions	24.5	121.333333333	Atayalic	Austronesian	Nominal Categories
au	Au	2	3rd person only, but also non-singular	-3.58333333333	142.083333333	Central Wapei	Torricelli	Nominal Categories
awp	Awa Pit	6	No gender distinctions	1.5	-78.25	Barbacoan	Barbacoan	Nominal Categories
awt	Awtuw	3	3rd person singular only	-3.58333333333	142.0	Ram	Sepik	Nominal Categories
aym	Aymara (Central)	6	No gender distinctions	-17.0	-69.0	Aymaran	Aymaran	Nominal Categories
bab	Babungo	2	3rd person only, but also non-singular	6.11666666667	10.4166666667	Wide Grassfields	Niger-Congo	Nominal Categories
bag	Bagirmi	6	No gender distinctions	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
bam	Bambara	6	No gender distinctions	12.5	-7.5	Western Mande	Mande	Nominal Categories
bnj	Bandjalang	3	3rd person singular only	-28.75	153.0	Southeastern Pama-Nyungan	Pama-Nyungan	Nominal Categories
baa	Barai	6	No gender distinctions	-9.33333333333	148.083333333	Koiarian	Trans-New Guinea	Nominal Categories
brs	Barasano	3	3rd person singular only	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Nominal Categories
bar	Bari	6	No gender distinctions	5.0	31.6666666667	Eastern Nilotic	Eastern Sudanic	Nominal Categories
bsq	Basque	6	No gender distinctions	43.0	-3.0	Basque	Basque	Nominal Categories
bkr	Batak (Karo)	6	No gender distinctions	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
baw	Bawm	6	No gender distinctions	22.5	92.25	Kuki-Chin	Sino-Tibetan	Nominal Categories
bej	Beja	1	In 3rd person + 1st and/or 2nd person	18.0	36.0	Beja	Afro-Asiatic	Nominal Categories
bma	Berber (Middle Atlas)	1	In 3rd person + 1st and/or 2nd person	33.0	-5.0	Berber	Afro-Asiatic	Nominal Categories
