wals code	name	value	description	latitude	longitude	genus	family	area
aar	Aari	4	No indefinite, but definite article	6.0	36.5833333333	South Omotic	Afro-Asiatic	Nominal Categories
abk	Abkhaz	2	Indefinite word same as 'one'	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
abu	Abun	1	Indefinite word distinct from 'one'	-0.5	132.5	Abun	Abun	Nominal Categories
ace	Acehnese	5	No definite or indefinite article	5.5	95.5	Malayo-Sumbawan	Austronesian	Nominal Categories
aco	Acoma	5	No definite or indefinite article	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Categories
adi	Adioukrou	4	No indefinite, but definite article	5.41666666667	-4.58333333333	Agneby	Niger-Congo	Nominal Categories
ala	Alamblak	4	No indefinite, but definite article	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
alb	Albanian	1	Indefinite word distinct from 'one'	41.0	20.0	Albanian	Indo-European	Nominal Categories
aln	Alune	5	No definite or indefinite article	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	Nominal Categories
amc	Amahuaca	5	No definite or indefinite article	-10.5	-72.5	Panoan	Pano-Tacanan	Nominal Categories
amn	Amanab	5	No definite or indefinite article	-3.58333333333	141.25	Border	Border	Nominal Categories
amq	Ambai	1	Indefinite word distinct from 'one'	-1.83333333333	136.5	South Halmahera - West New Guinea	Austronesian	Nominal Categories
amb	Ambulas	5	No definite or indefinite article	-3.83333333333	143.0	Ndu	Sepik	Nominal Categories
ame	Amele	1	Indefinite word distinct from 'one'	-5.25	145.583333333	Mabuso	Trans-New Guinea	Nominal Categories
amh	Amharic	2	Indefinite word same as 'one'	10.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
anj	Anejom	1	Indefinite word distinct from 'one'	-20.2	169.8	Oceanic	Austronesian	Nominal Categories
agm	Angami	2	Indefinite word same as 'one'	25.6666666667	94.5	Angami-Pochuri	Sino-Tibetan	Nominal Categories
ang	Anggor	5	No definite or indefinite article	-3.75	141.166666667	Senagi	Senagi	Nominal Categories
anu	Anufo	1	Indefinite word distinct from 'one'	10.0833333333	0.25	Tano	Niger-Congo	Nominal Categories
any	Anywa	5	No definite or indefinite article	8.0	33.5	Western Nilotic	Eastern Sudanic	Nominal Categories
ao	Ao	2	Indefinite word same as 'one'	26.5833333333	94.6666666667	Central Naga	Sino-Tibetan	Nominal Categories
apl	Apalaí	5	No definite or indefinite article	0.0	-54.0	Cariban	Cariban	Nominal Categories
apu	Apurinã	5	No definite or indefinite article	-9.0	-67.0	Purus	Arawakan	Nominal Categories
aeg	Arabic (Egyptian)	4	No indefinite, but definite article	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
arg	Arabic (Gulf)	4	No indefinite, but definite article	26.0	49.0	Semitic	Afro-Asiatic	Nominal Categories
arq	Arabic (Iraqi)	1	Indefinite word distinct from 'one'	33.0	44.0	Semitic	Afro-Asiatic	Nominal Categories
arj	Arabic (Kuwaiti)	4	No indefinite, but definite article	29.5	47.5	Semitic	Afro-Asiatic	Nominal Categories
amr	Arabic (Moroccan)	3	Indefinite affix	34.0	-6.0	Semitic	Afro-Asiatic	Nominal Categories
asy	Arabic (Syrian)	4	No indefinite, but definite article	34.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
ana	Araona	5	No definite or indefinite article	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Nominal Categories
arp	Arapesh (Mountain)	1	Indefinite word distinct from 'one'	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Nominal Categories
arc	Archi	2	Indefinite word same as 'one'	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Nominal Categories
arm	Armenian (Eastern)	1	Indefinite word distinct from 'one'	40.0	45.0	Armenian	Indo-European	Nominal Categories
arw	Armenian (Western)	1	Indefinite word distinct from 'one'	38.5	43.5	Armenian	Indo-European	Nominal Categories
aro	Arosi	1	Indefinite word distinct from 'one'	-10.25	161.333333333	Oceanic	Austronesian	Nominal Categories
ata	Atayal	4	No indefinite, but definite article	24.5	121.333333333	Atayalic	Austronesian	Nominal Categories
au	Au	5	No definite or indefinite article	-3.58333333333	142.083333333	Central Wapei	Torricelli	Nominal Categories
awp	Awa Pit	5	No definite or indefinite article	1.5	-78.25	Barbacoan	Barbacoan	Nominal Categories
awt	Awtuw	2	Indefinite word same as 'one'	-3.58333333333	142.0	Ram	Sepik	Nominal Categories
aym	Aymara (Central)	2	Indefinite word same as 'one'	-17.0	-69.0	Aymaran	Aymaran	Nominal Categories
azi	Azari (Iranian)	2	Indefinite word same as 'one'	37.5	47.0	Turkic	Altaic	Nominal Categories
bab	Babungo	4	No indefinite, but definite article	6.11666666667	10.4166666667	Wide Grassfields	Niger-Congo	Nominal Categories
bag	Bagirmi	4	No indefinite, but definite article	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
bwc	Bajau (West Coast)	2	Indefinite word same as 'one'	6.33333333333	116.333333333	Sama-Bajaw	Austronesian	Nominal Categories
blt	Balti	1	Indefinite word distinct from 'one'	35.0	76.0	Bodic	Sino-Tibetan	Nominal Categories
bbu	Barambu	4	No indefinite, but definite article	3.5	27.0	Ubangi	Niger-Congo	Nominal Categories
bar	Bari	5	No definite or indefinite article	5.0	31.6666666667	Eastern Nilotic	Eastern Sudanic	Nominal Categories
brp	Barupu	4	No indefinite, but definite article	-3.08333333333	142.083333333	Warapu	Skou	Nominal Categories
bsk	Bashkir	5	No definite or indefinite article	53.0	58.0	Turkic	Altaic	Nominal Categories
bsq	Basque	2	Indefinite word same as 'one'	43.0	-3.0	Basque	Basque	Nominal Categories
bkr	Batak (Karo)	4	No indefinite, but definite article	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
bto	Batak (Toba)	5	No definite or indefinite article	2.5	99.0	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
baw	Bawm	5	No definite or indefinite article	22.5	92.25	Kuki-Chin	Sino-Tibetan	Nominal Categories
bco	Bella Coola	4	No indefinite, but definite article	52.5	-126.666666667	Bella Coola	Salishan	Nominal Categories
bfg	Berber (Figuig)	5	No definite or indefinite article	32.5	-1.5	Berber	Afro-Asiatic	Nominal Categories
brf	Berber (Rif)	2	Indefinite word same as 'one'	34.5	-4.0	Berber	Afro-Asiatic	Nominal Categories
bsi	Berber (Siwa)	5	No definite or indefinite article	29.1666666667	25.5	Berber	Afro-Asiatic	Nominal Categories
zag	Beria	1	Indefinite word distinct from 'one'	16.0	23.0	Eastern Saharan	Saharan	Nominal Categories
bik	Biak	1	Indefinite word distinct from 'one'	-1.0	136.0	South Halmahera - West New Guinea	Austronesian	Nominal Categories
bil	Bilua	1	Indefinite word distinct from 'one'	-7.75	156.666666667	Bilua	Solomons East Papuan	Nominal Categories
bin	Binandere	2	Indefinite word same as 'one'	-8.25	148.0	Binanderean	Trans-New Guinea	Nominal Categories
bni	Bini	5	No definite or indefinite article	6.41666666667	5.83333333333	Edoid	Niger-Congo	Nominal Categories
bbw	Bininj Gun-Wok	2	Indefinite word same as 'one'	-12.5	133.75	Marne	Gunwinyguan	Nominal Categories
bir	Birom	1	Indefinite word distinct from 'one'	9.66666666667	8.83333333333	Benue-Congo Plateau	Niger-Congo	Nominal Categories
bla	Blackfoot	3	Indefinite affix	50.0	-112.666666667	Algonquian	Algic	Nominal Categories
bod	Bodo	5	No definite or indefinite article	26.8333333333	92.0	Brahmaputran	Sino-Tibetan	Nominal Categories
btk	Bontok	4	No indefinite, but definite article	17.0833333333	120.916666667	Northern Luzon	Austronesian	Nominal Categories
bre	Breton	1	Indefinite word distinct from 'one'	48.0	-3.0	Celtic	Indo-European	Nominal Categories
bdu	Budu	4	No indefinite, but definite article	2.0	28.0	Bantu	Niger-Congo	Nominal Categories
bum	Buma	5	No definite or indefinite article	-11.6333333333	166.833333333	Oceanic	Austronesian	Nominal Categories
