Martin Haspelmath. 2013. Indefinite Pronouns.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/46, Accessed on 2024-11-28.)

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	3	Special	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
abu	Abun	2	Generic-noun-based	-0.5	132.5	Abun	Abun	Nominal Categories
ace	Acehnese	1	Interrogative-based	5.5	95.5	Malayo-Sumbawan	Austronesian	Nominal Categories
aco	Acoma	1	Interrogative-based	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Categories
ain	Ainu	1	Interrogative-based	43.0	143.0	Ainu	Ainu	Nominal Categories
abm	Alabama	1	Interrogative-based	32.3333333333	-87.4166666667	Muskogean	Muskogean	Nominal Categories
aso	Altai (Southern)	1	Interrogative-based	51.0	87.0	Turkic	Altaic	Nominal Categories
aly	Alyawarra	1	Interrogative-based	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
aml	Ambae (Lolovoli Northeast)	2	Generic-noun-based	-15.4166666667	167.883333333	Oceanic	Austronesian	Nominal Categories
ame	Amele	2	Generic-noun-based	-5.25	145.583333333	Mabuso	Trans-New Guinea	Nominal Categories
amu	Amuesha	1	Interrogative-based	-10.5	-75.4166666667	Yanesha'	Arawakan	Nominal Categories
agt	Anguthimri	1	Interrogative-based	-12.3333333333	141.833333333	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
ano	Anong	2	Generic-noun-based	27.3333333333	98.75	Nungish	Sino-Tibetan	Nominal Categories
aeg	Arabic (Egyptian)	2	Generic-noun-based	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
ana	Araona	1	Interrogative-based	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Nominal Categories
amp	Arrernte (Mparntwe)	2	Generic-noun-based	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
ass	Assamese	1	Interrogative-based	26.0	93.0	Indic	Indo-European	Nominal Categories
atc	Atchin	1	Interrogative-based	-16.0	167.333333333	Oceanic	Austronesian	Nominal Categories
awp	Awa Pit	1	Interrogative-based	1.5	-78.25	Barbacoan	Barbacoan	Nominal Categories
aze	Azerbaijani	1	Interrogative-based	40.5	48.5	Turkic	Altaic	Nominal Categories
bab	Babungo	2	Generic-noun-based	6.11666666667	10.4166666667	Wide Grassfields	Niger-Congo	Nominal Categories
bdm	Badimaya	1	Interrogative-based	-27.6666666667	118.0	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
