wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	6	10-11 categories per word	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Morphology
aco	Acoma	3	4-5 categories per word	34.9166666667	-107.583333333	Keresan	Keresan	Morphology
ash	Adyghe (Shapsugh)	5	8-9 categories per word	45.0	38.75	Northwest Caucasian	Northwest Caucasian	Morphology
ain	Ainu	3	4-5 categories per word	43.0	143.0	Ainu	Ainu	Morphology
ala	Alamblak	6	10-11 categories per word	-4.66666666667	143.333333333	Sepik Hill	Sepik	Morphology
ame	Amele	4	6-7 categories per word	-5.25	145.583333333	Mabuso	Trans-New Guinea	Morphology
apu	Apurinã	4	6-7 categories per word	-9.0	-67.0	Purus	Arawakan	Morphology
aeg	Arabic (Egyptian)	4	6-7 categories per word	30.0	31.0	Semitic	Afro-Asiatic	Morphology
arp	Arapesh (Mountain)	3	4-5 categories per word	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Morphology
arm	Armenian (Eastern)	2	2-3 categories per word	40.0	45.0	Armenian	Indo-European	Morphology
amp	Arrernte (Mparntwe)	3	4-5 categories per word	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Morphology
asm	Asmat	3	4-5 categories per word	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Morphology
atk	Atakapa	5	8-9 categories per word	30.0	-93.5	Atakapa	Atakapa	Morphology
awp	Awa Pit	5	8-9 categories per word	1.5	-78.25	Barbacoan	Barbacoan	Morphology
aym	Aymara (Central)	5	8-9 categories per word	-17.0	-69.0	Aymaran	Aymaran	Morphology
bag	Bagirmi	4	6-7 categories per word	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Morphology
brs	Barasano	3	4-5 categories per word	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Morphology
bsq	Basque	3	4-5 categories per word	43.0	-3.0	Basque	Basque	Morphology
bej	Beja	3	4-5 categories per word	18.0	36.0	Beja	Afro-Asiatic	Morphology
bel	Belhare	4	6-7 categories per word	26.9666666667	87.3	Himalayish	Sino-Tibetan	Morphology
bma	Berber (Middle Atlas)	4	6-7 categories per word	33.0	-5.0	Berber	Afro-Asiatic	Morphology
brr	Bororo	3	4-5 categories per word	-16.0	-57.0	Bororoan	Bororoan	Morphology
brh	Brahui	2	2-3 categories per word	28.5	67.0	Dravidian	Dravidian	Morphology
brm	Burmese	2	2-3 categories per word	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Morphology
bur	Burushaski	5	8-9 categories per word	36.5	74.5	Burushaski	Burushaski	Morphology
cnl	Canela	3	4-5 categories per word	-7.0	-45.0	Je Setentrional	Macro-Ge	Morphology
cyv	Cayuvava	4	6-7 categories per word	-13.5	-65.5	Cayuvava	Cayuvava	Morphology
cha	Chamorro	4	6-7 categories per word	13.45	144.75	Chamorro	Austronesian	Morphology
cku	Chinook (Upper)	6	10-11 categories per word	45.62	-121.16	Chinookan	Penutian	Morphology
chk	Chukchi	3	4-5 categories per word	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Morphology
cre	Cree (Plains)	4	6-7 categories per word	54.0	-110.0	Algonquian	Algic	Morphology
dag	Daga	5	8-9 categories per word	-10.0	149.333333333	Dagan	Trans-New Guinea	Morphology
dni	Dani (Lower Grand Valley)	4	6-7 categories per word	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Morphology
dig	Digaro	3	4-5 categories per word	28.4166666667	96.0	Digaroan	Sino-Tibetan	Morphology
eka	Ekari	3	4-5 categories per word	-3.83333333333	135.5	Paniai Lakes	Trans-New Guinea	Morphology
eng	English	2	2-3 categories per word	52.0	0.0	Germanic	Indo-European	Morphology
epe	Epena Pedee	3	4-5 categories per word	3.0	-77.0	Choco	Choco	Morphology
eve	Evenki	4	6-7 categories per word	56.0	125.0	Tungusic	Altaic	Morphology
fij	Fijian	4	6-7 categories per word	-17.8333333333	178.0	Oceanic	Austronesian	Morphology
fin	Finnish	2	2-3 categories per word	62.0	25.0	Finnic	Uralic	Morphology
fre	French	3	4-5 categories per word	48.0	2.0	Romance	Indo-European	Morphology
gar	Garo	2	2-3 categories per word	25.6666666667	90.5	Brahmaputran	Sino-Tibetan	Morphology
geo	Georgian	5	8-9 categories per word	42.0	44.0	Kartvelian	Kartvelian	Morphology
ger	German	2	2-3 categories per word	52.0	10.0	Germanic	Indo-European	Morphology
goo	Gooniyandi	4	6-7 categories per word	-18.3333333333	126.333333333	Bunuban	Bunuban	Morphology
grb	Grebo	4	6-7 categories per word	5.0	-8.0	Kru	Niger-Congo	Morphology
grk	Greek (Modern)	3	4-5 categories per word	39.0	22.0	Greek	Indo-European	Morphology
