wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	1	Absent	-24.0	21.5	Tu	Tu	Nominal Categories
xam	/Xam	1	Absent	-31.0	21.0	Tu	Tu	Nominal Categories
abk	Abkhaz	1	Absent	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
abu	Abun	3	Obligatory	-0.5	132.5	Abun	Abun	Nominal Categories
aco	Acoma	1	Absent	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Categories
ain	Ainu	2	Optional	43.0	143.0	Ainu	Ainu	Nominal Categories
agw	Alagwa	1	Absent	-5.5	35.75	Southern Cushitic	Afro-Asiatic	Nominal Categories
ala	Alamblak	1	Absent	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
alb	Albanian	1	Absent	41.0	20.0	Albanian	Indo-European	Nominal Categories
aln	Alune	3	Obligatory	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	Nominal Categories
amk	Amarakaeri	1	Absent	-12.5	-70.5	Harakmbet	Harakmbet	Nominal Categories
aml	Ambae (Lolovoli Northeast)	1	Absent	-15.4166666667	167.883333333	Oceanic	Austronesian	Nominal Categories
amb	Ambulas	1	Absent	-3.83333333333	143.0	Ndu	Sepik	Nominal Categories
ame	Amele	1	Absent	-5.25	145.583333333	Mabuso	Trans-New Guinea	Nominal Categories
amh	Amharic	1	Absent	10.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
ami	Amis	1	Absent	23.3333333333	121.333333333	East Formosan	Austronesian	Nominal Categories
apu	Apurinã	1	Absent	-9.0	-67.0	Purus	Arawakan	Nominal Categories
arb	Arabela	1	Absent	-2.0	-75.1666666667	Zaparoan	Zaparoan	Nominal Categories
aeg	Arabic (Egyptian)	1	Absent	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
ako	Arabic (Kormakiti)	1	Absent	35.25	33.5	Semitic	Afro-Asiatic	Nominal Categories
amr	Arabic (Moroccan)	1	Absent	34.0	-6.0	Semitic	Afro-Asiatic	Nominal Categories
abo	Arbore	1	Absent	5.0	36.75	Lowland East Cushitic	Afro-Asiatic	Nominal Categories
arm	Armenian (Eastern)	1	Absent	40.0	45.0	Armenian	Indo-European	Nominal Categories
arz	Armenian (Iranian)	2	Optional	32.6666666667	51.6666666667	Armenian	Indo-European	Nominal Categories
aro	Arosi	1	Absent	-10.25	161.333333333	Oceanic	Austronesian	Nominal Categories
ass	Assamese	3	Obligatory	26.0	93.0	Indic	Indo-European	Nominal Categories
atk	Atakapa	1	Absent	30.0	-93.5	Atakapa	Atakapa	Nominal Categories
ata	Atayal	1	Absent	24.5	121.333333333	Atayalic	Austronesian	Nominal Categories
ath	Athpare	3	Obligatory	27.0	87.3333333333	Himalayish	Sino-Tibetan	Nominal Categories
ava	Avar	1	Absent	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
awt	Awtuw	1	Absent	-3.58333333333	142.0	Ram	Sepik	Nominal Categories
aze	Azerbaijani	2	Optional	40.5	48.5	Turkic	Altaic	Nominal Categories
bgv	Bagvalal	1	Absent	42.5833333333	46.1666666667	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
bal	Balinese	2	Optional	-8.33333333333	115.25	Malayo-Sumbawan	Austronesian	Nominal Categories
bnv	Baniva	3	Obligatory	5.26	-67.56	Alto-Orinoco	Arawakan	Nominal Categories
brl	Baragaunle	1	Absent	28.8333333333	83.8333333333	Bodic	Sino-Tibetan	Nominal Categories
bae	Baré	1	Absent	1.0	-67.0	Japura-Colombia	Arawakan	Nominal Categories
bsq	Basque	1	Absent	43.0	-3.0	Basque	Basque	Nominal Categories
bkr	Batak (Karo)	2	Optional	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
beg	Begak-Ida'an	2	Optional	5.25	118.833333333	North Borneo	Austronesian	Nominal Categories
bel	Belhare	3	Obligatory	26.9666666667	87.3	Himalayish	Sino-Tibetan	Nominal Categories
ben	Bengali	3	Obligatory	24.0	90.0	Indic	Indo-European	Nominal Categories
bit	Biatah	2	Optional	1.25	110.0	Land Dayak	Austronesian	Nominal Categories
bok	Boko	3	Obligatory	10.5	3.5	Eastern Mande	Mande	Nominal Categories
bor	Bora	2	Optional	-2.16666666667	-72.3333333333	Boran	Boran	Nominal Categories
brh	Brahui	1	Absent	28.5	67.0	Dravidian	Dravidian	Nominal Categories
bul	Bulgarian	1	Absent	42.5	25.0	Slavic	Indo-European	Nominal Categories
but	Buriat	1	Absent	52.0	108.0	Mongolic	Altaic	Nominal Categories
brm	Burmese	3	Obligatory	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Nominal Categories
bur	Burushaski	1	Absent	36.5	74.5	Burushaski	Burushaski	Nominal Categories
cnl	Canela	1	Absent	-7.0	-45.0	Je Setentrional	Macro-Ge	Nominal Categories
cnt	Cantonese	3	Obligatory	23.0	113.0	Chinese	Sino-Tibetan	Nominal Categories
cap	Capanahua	1	Absent	-7.0	-74.0	Panoan	Pano-Tacanan	Nominal Categories
crq	Carrier	3	Obligatory	53.75	-123.5	Athapaskan	Na-Dene	Nominal Categories
cyv	Cayuvava	1	Absent	-13.5	-65.5	Cayuvava	Cayuvava	Nominal Categories
cme	Cham (Eastern)	3	Obligatory	11.3333333333	108.5	Malayo-Sumbawan	Austronesian	Nominal Categories
chw	Cham (Western)	3	Obligatory	12.0	105.5	Malayo-Sumbawan	Austronesian	Nominal Categories
cha	Chamorro	1	Absent	13.45	144.75	Chamorro	Austronesian	Nominal Categories
chn	Chantyal	2	Optional	28.5833333333	83.4166666667	Bodic	Sino-Tibetan	Nominal Categories
chy	Chayahuita	2	Optional	-5.5	-77.0	Cahuapanan	Cahuapanan	Nominal Categories
chc	Chechen	1	Absent	43.25	45.8333333333	Nakh	Nakh-Daghestanian	Nominal Categories
cpn	Chepang	1	Absent	27.6666666667	84.75	Himalayish	Sino-Tibetan	Nominal Categories
cjo	Chichimeca-Jonaz	1	Absent	21.6666666667	-100.5	Chichimec	Oto-Manguean	Nominal Categories
chi	Chimariko	1	Absent	41.0	-123.0	Chimariko	Hokan	Nominal Categories
cku	Chinook (Upper)	1	Absent	45.62	-121.16	Chinookan	Penutian	Nominal Categories
ctm	Chitimacha	1	Absent	29.6666666667	-91.0	Chitimacha	Chitimacha	Nominal Categories
cct	Choctaw	1	Absent	32.25	-88.5	Muskogean	Muskogean	Nominal Categories
chx	Chontal (Huamelultec Oaxaca)	3	Obligatory	16.0	-95.75	Tequistlatecan	Hokan	Nominal Categories
chk	Chukchi	1	Absent	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
cba	Chumash (Barbareño)	1	Absent	34.5	-120.25	Chumash	Chumash	Nominal Categories
cin	Chumash (Ineseño)	1	Absent	34.6666666667	-120.25	Chumash	Chumash	Nominal Categories
cuu	Chuukese	3	Obligatory	7.33333333333	151.75	Oceanic	Austronesian	Nominal Categories
chv	Chuvash	1	Absent	55.5	47.5	Turkic	Altaic	Nominal Categories
coo	Coos (Hanis)	1	Absent	43.5	-124.166666667	Coosan	Oregon Coast	Nominal Categories
cre	Cree (Plains)	1	Absent	54.0	-110.0	Algonquian	Algic	Nominal Categories
cul	Culina	1	Absent	-6.0	-70.5	Arauan	Arauan	Nominal Categories
dga	Dagaare	1	Absent	10.5	-2.66666666667	Oti-Volta	Niger-Congo	Nominal Categories
drg	Dargwa	1	Absent	42.25	47.4166666667	Dargwic	Nakh-Daghestanian	Nominal Categories
dat	Datooga	1	Absent	-4.33333333333	35.3333333333	Southern Nilotic	Eastern Sudanic	Nominal Categories
den	Dení	1	Absent	-6.0	-67.0	Arauan	Arauan	Nominal Categories
diz	Dizi	1	Absent	6.16666666667	36.5	Dizoid	Afro-Asiatic	Nominal Categories
dji	Djingili	1	Absent	-17.75	134.0	Djingili	Mirndi	Nominal Categories
dob	Dobel	2	Optional	-6.25	134.666666667	Central Malayo-Polynesian	Austronesian	Nominal Categories
dre	Drehu	1	Absent	-21.0	167.25	Oceanic	Austronesian	Nominal Categories
dum	Dumo	1	Absent	-2.68333333333	141.3	Western Skou	Skou	Nominal Categories
dyi	Dyirbal	1	Absent	-17.8333333333	145.583333333	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
eng	English	1	Absent	52.0	0.0	Germanic	Indo-European	Nominal Categories
epe	Epena Pedee	1	Absent	3.0	-77.0	Choco	Choco	Nominal Categories
err	Erromangan	1	Absent	-18.8333333333	169.166666667	Oceanic	Austronesian	Nominal Categories
eve	Evenki	1	Absent	56.0	125.0	Tungusic	Altaic	Nominal Categories
eya	Eyak	3	Obligatory	60.5	-145.0	Eyak	Na-Dene	Nominal Categories
fij	Fijian	1	Absent	-17.8333333333	178.0	Oceanic	Austronesian	Nominal Categories
fin	Finnish	1	Absent	62.0	25.0	Finnic	Uralic	Nominal Categories
fre	French	1	Absent	48.0	2.0	Romance	Indo-European	Nominal Categories
fur	Fur	1	Absent	13.5	25.0	Fur	Fur	Nominal Categories
fut	Futuna-Aniwa	1	Absent	-19.5333333333	170.216666667	Oceanic	Austronesian	Nominal Categories
gaa	Gaagudju	1	Absent	-12.5833333333	132.833333333	Gaagudju	Gaagudju	Nominal Categories
gar	Garo	3	Obligatory	25.6666666667	90.5	Brahmaputran	Sino-Tibetan	Nominal Categories
grr	Garrwa	1	Absent	-17.0833333333	137.166666667	Garrwan	Garrwan	Nominal Categories
gav	Gavião	1	Absent	-10.6666666667	-62.0	Monde	Tupian	Nominal Categories
gbb	Gbeya Bossangoa	1	Absent	6.66666666667	17.5	Gbaya-Manza-Ngbaka	Niger-Congo	Nominal Categories
geo	Georgian	1	Absent	42.0	44.0	Kartvelian	Kartvelian	Nominal Categories
ger	German	1	Absent	52.0	10.0	Germanic	Indo-European	Nominal Categories
gil	Gilaki	2	Optional	37.3333333333	50.0	Iranian	Indo-European	Nominal Categories
goo	Gooniyandi	1	Absent	-18.3333333333	126.333333333	Bunuban	Bunuban	Nominal Categories
gua	Guaraní	1	Absent	-26.0	-56.0	Maweti-Guarani	Tupian	Nominal Categories
gdf	Guduf	1	Absent	11.2333333333	13.8	Biu-Mandara	Afro-Asiatic	Nominal Categories
gnn	Gunin	1	Absent	-14.25	126.666666667	Worrorran	Worrorran	Nominal Categories
hai	Haida	2	Optional	53.0	-132.0	Haida	Haida	Nominal Categories
hat	Hatam	2	Optional	-1.0	134.0	Hatim-Mansim	Hatim-Mansim	Nominal Categories
hau	Hausa	1	Absent	12.0	7.0	West Chadic	Afro-Asiatic	Nominal Categories
haw	Hawaiian	1	Absent	19.5833333333	-155.5	Oceanic	Austronesian	Nominal Categories
heb	Hebrew (Modern)	1	Absent	31.5	34.8333333333	Semitic	Afro-Asiatic	Nominal Categories
hin	Hindi	1	Absent	25.0	77.0	Indic	Indo-European	Nominal Categories
hix	Hixkaryana	1	Absent	-1.0	-59.0	Cariban	Cariban	Nominal Categories
hmd	Hmong Daw	3	Obligatory	26.0	105.0	Hmongic	Hmong-Mien	Nominal Categories
hua	Hua	1	Absent	-6.33333333333	145.333333333	Siane-Yagaria	Trans-New Guinea	Nominal Categories
hun	Hungarian	2	Optional	47.0	20.0	Ugric	Uralic	Nominal Categories
hzb	Hunzib	1	Absent	42.1666666667	46.25	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
hpd	Hup	1	Absent	0.166666666667	-69.25	Nadahup	Nadahup	Nominal Categories
hyo	Hyow	3	Obligatory	22.0833333333	92.4166666667	Kuki-Chin	Sino-Tibetan	Nominal Categories
iaa	Iaai	1	Absent	-20.4166666667	166.583333333	Oceanic	Austronesian	Nominal Categories
igb	Igbo	1	Absent	6.0	7.33333333333	Igboid	Niger-Congo	Nominal Categories
ika	Ika	1	Absent	10.6666666667	-73.75	Arhuacic	Chibchan	Nominal Categories
imo	Imonda	1	Absent	-3.33333333333	141.166666667	Border	Border	Nominal Categories
ind	Indonesian	2	Optional	0.0	106.0	Malayo-Sumbawan	Austronesian	Nominal Categories
ing	Ingush	1	Absent	43.1666666667	45.0833333333	Nakh	Nakh-Daghestanian	Nominal Categories
irq	Iraqw	1	Absent	-4.0	35.5	Southern Cushitic	Afro-Asiatic	Nominal Categories
jah	Jahai	2	Optional	5.75	101.5	Aslian	Austro-Asiatic	Nominal Categories
jak	Jakaltek	3	Obligatory	15.6666666667	-91.6666666667	Mayan	Mayan	Nominal Categories
jmm	Jamamadi	1	Absent	-7.5	-67.0	Arauan	Arauan	Nominal Categories
jam	Jaminjung	1	Absent	-15.0833333333	130.5	Jaminjungan	Mirndi	Nominal Categories
jpn	Japanese	3	Obligatory	37.0	140.0	Japanese	Japanese	Nominal Categories
jaq	Jaqaru	1	Absent	-13.0	-76.0	Aymaran	Aymaran	Nominal Categories
jav	Javanese	2	Optional	-7.0	111.0	Javanese	Austronesian	Nominal Categories
jiv	Jivaro	1	Absent	-2.5	-78.0	Jivaroan	Jivaroan	Nominal Categories
juh	Ju|'hoan	1	Absent	-19.0	21.0	Ju-Kung	Kxa	Nominal Categories
klp	Kalapuya	3	Obligatory	44.5	-123.0	Kalapuyan	Kalapuyan	Nominal Categories
kam	Kambera	3	Obligatory	-9.83333333333	120.166666667	Central Malayo-Polynesian	Austronesian	Nominal Categories
kan	Kana	3	Obligatory	4.75	7.41666666667	Ogonoid	Niger-Congo	Nominal Categories
knd	Kannada	1	Absent	14.0	76.0	Dravidian	Dravidian	Nominal Categories
knr	Kanuri	1	Absent	12.0	13.0	Western Saharan	Saharan	Nominal Categories
krk	Karok	1	Absent	41.6666666667	-123.0	Karok	Hokan	Nominal Categories
kyl	Kayah Li (Eastern)	3	Obligatory	19.0	97.5	Karen	Sino-Tibetan	Nominal Categories
kbr	Kayan (Baram)	2	Optional	3.5	114.5	North Borneo	Austronesian	Nominal Categories
kei	Kei	3	Obligatory	-5.83333333333	132.916666667	Central Malayo-Polynesian	Austronesian	Nominal Categories
klt	Kelabit	1	Absent	3.66666666667	115.416666667	North Borneo	Austronesian	Nominal Categories
keu	Kenyah (Uma' Lung)	2	Optional	3.0	115.833333333	North Borneo	Austronesian	Nominal Categories
keo	Keo	3	Obligatory	-8.83333333333	121.25	Central Malayo-Polynesian	Austronesian	Nominal Categories
ktp	Ketapang	3	Obligatory	-2.75	111.1666667	Malayo-Sumbawan	Austronesian	Nominal Categories
kew	Kewa	1	Absent	-6.5	143.833333333	Enga_Kewa-Huli	Trans-New Guinea	Nominal Categories
kha	Khalkha	1	Absent	47.0	105.0	Mongolic	Altaic	Nominal Categories
kmh	Kham	3	Obligatory	28.5	82.75	Himalayish	Sino-Tibetan	Nominal Categories
khr	Kharia	2	Optional	22.5	84.3333333333	Munda	Austro-Asiatic	Nominal Categories
khm	Khmer	2	Optional	12.5	105.0	Khmer	Austro-Asiatic	Nominal Categories
kmu	Khmu'	3	Obligatory	21.0	102.0	Khmuic	Austro-Asiatic	Nominal Categories
khu	Khumi	3	Obligatory	21.9166666667	92.4166666667	Kuki-Chin	Sino-Tibetan	Nominal Categories
klv	Kilivila	3	Obligatory	-8.5	151.083333333	Oceanic	Austronesian	Nominal Categories
kio	Kiowa	1	Absent	37.0	-99.0	Kiowa-Tanoan	Kiowa-Tanoan	Nominal Categories
krb	Kiribati	3	Obligatory	1.33333333333	173.0	Oceanic	Austronesian	Nominal Categories
kiw	Kiwai (Southern)	1	Absent	-8.0	143.5	Kiwaian	Trans-New Guinea	Nominal Categories
klm	Klamath	1	Absent	42.5	-121.5	Klamath-Modoc	Penutian	Nominal Categories
kob	Kobon	1	Absent	-5.16666666667	144.333333333	Kalam-Kobon	Trans-New Guinea	Nominal Categories
koi	Koiari	1	Absent	-9.5	147.333333333	Koiarian	Trans-New Guinea	Nominal Categories
kmb	Kombai	1	Absent	-5.58333333333	140.0	Ndeiram	Trans-New Guinea	Nominal Categories
kag	Komering	2	Optional	-3.16666666667	104.916666667	Lampungic	Austronesian	Nominal Categories
