wals code	name	value	description	latitude	longitude	genus	family	area
ani	//Ani	1	Present	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Simple Clauses
abi	Abipón	2	Absent	-29.0	-61.0	Abipon	Guaicuruan	Simple Clauses
abk	Abkhaz	2	Absent	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Simple Clauses
abu	Abun	2	Absent	-0.5	132.5	Abun	Abun	Simple Clauses
ace	Acehnese	2	Absent	5.5	95.5	Malayo-Sumbawan	Austronesian	Simple Clauses
acm	Achumawi	2	Absent	41.5	-121.0	Achumawi	Hokan	Simple Clauses
aco	Acoma	2	Absent	34.9166666667	-107.583333333	Keresan	Keresan	Simple Clauses
adz	Adzera	2	Absent	-6.25	146.25	Oceanic	Austronesian	Simple Clauses
ain	Ainu	1	Present	43.0	143.0	Ainu	Ainu	Simple Clauses
ala	Alamblak	2	Absent	-4.66666666667	143.333333333	Sepik Hill	Sepik	Simple Clauses
alb	Albanian	1	Present	41.0	20.0	Albanian	Indo-European	Simple Clauses
ame	Amele	2	Absent	-5.25	145.583333333	Mabuso	Trans-New Guinea	Simple Clauses
amh	Amharic	1	Present	10.0	38.0	Semitic	Afro-Asiatic	Simple Clauses
amu	Amuesha	1	Present	-10.5	-75.4166666667	Yanesha'	Arawakan	Simple Clauses
anj	Anejom	2	Absent	-20.2	169.8	Oceanic	Austronesian	Simple Clauses
ane	Anêm	2	Absent	-5.58333333333	149.083333333	Anêm	Anêm	Simple Clauses
apu	Apurinã	1	Present	-9.0	-67.0	Purus	Arawakan	Simple Clauses
abn	Arabana	2	Absent	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Simple Clauses
aeg	Arabic (Egyptian)	1	Present	30.0	31.0	Semitic	Afro-Asiatic	Simple Clauses
ana	Araona	1	Present	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Simple Clauses
arp	Arapesh (Mountain)	2	Absent	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Simple Clauses
arm	Armenian (Eastern)	1	Present	40.0	45.0	Armenian	Indo-European	Simple Clauses
asm	Asmat	2	Absent	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Simple Clauses
atk	Atakapa	2	Absent	30.0	-93.5	Atakapa	Atakapa	Simple Clauses
