wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	2	Verbal constructions	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Verbal Categories
ace	Acehnese	2	Verbal constructions	5.5	95.5	Malayo-Sumbawan	Austronesian	Verbal Categories
aco	Acoma	1	Affixes on verbs	34.9166666667	-107.583333333	Keresan	Keresan	Verbal Categories
ain	Ainu	2	Verbal constructions	43.0	143.0	Ainu	Ainu	Verbal Categories
akn	Akan	2	Verbal constructions	6.5	-1.25	Tano	Niger-Congo	Verbal Categories
alb	Albanian	2	Verbal constructions	41.0	20.0	Albanian	Indo-European	Verbal Categories
ame	Amele	3	Other kinds of markers	-5.25	145.583333333	Mabuso	Trans-New Guinea	Verbal Categories
amh	Amharic	2	Verbal constructions	10.0	38.0	Semitic	Afro-Asiatic	Verbal Categories
apu	Apurinã	2	Verbal constructions	-9.0	-67.0	Purus	Arawakan	Verbal Categories
aeg	Arabic (Egyptian)	2	Verbal constructions	30.0	31.0	Semitic	Afro-Asiatic	Verbal Categories
arg	Arabic (Gulf)	2	Verbal constructions	26.0	49.0	Semitic	Afro-Asiatic	Verbal Categories
amr	Arabic (Moroccan)	2	Verbal constructions	34.0	-6.0	Semitic	Afro-Asiatic	Verbal Categories
ana	Araona	1	Affixes on verbs	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Verbal Categories
arm	Armenian (Eastern)	2	Verbal constructions	40.0	45.0	Armenian	Indo-European	Verbal Categories
asm	Asmat	1	Affixes on verbs	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Verbal Categories
awp	Awa Pit	1	Affixes on verbs	1.5	-78.25	Barbacoan	Barbacoan	Verbal Categories
aym	Aymara (Central)	2	Verbal constructions	-17.0	-69.0	Aymaran	Aymaran	Verbal Categories
bab	Babungo	2	Verbal constructions	6.11666666667	10.4166666667	Wide Grassfields	Niger-Congo	Verbal Categories
bag	Bagirmi	2	Verbal constructions	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Verbal Categories
bal	Balinese	2	Verbal constructions	-8.33333333333	115.25	Malayo-Sumbawan	Austronesian	Verbal Categories
bam	Bambara	2	Verbal constructions	12.5	-7.5	Western Mande	Mande	Verbal Categories
brs	Barasano	2	Verbal constructions	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Verbal Categories
bsq	Basque	1	Affixes on verbs	43.0	-3.0	Basque	Basque	Verbal Categories
bkr	Batak (Karo)	1	Affixes on verbs	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Verbal Categories
baw	Bawm	2	Verbal constructions	22.5	92.25	Kuki-Chin	Sino-Tibetan	Verbal Categories
bej	Beja	2	Verbal constructions	18.0	36.0	Beja	Afro-Asiatic	Verbal Categories
bma	Berber (Middle Atlas)	2	Verbal constructions	33.0	-5.0	Berber	Afro-Asiatic	Verbal Categories
brh	Brahui	1	Affixes on verbs	28.5	67.0	Dravidian	Dravidian	Verbal Categories
brm	Burmese	3	Other kinds of markers	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Verbal Categories
cnt	Cantonese	2	Verbal constructions	23.0	113.0	Chinese	Sino-Tibetan	Verbal Categories
ctl	Catalan	2	Verbal constructions	41.75	2.0	Romance	Indo-European	Verbal Categories
