wals code	name	value	description	latitude	longitude	genus	family	area
ain	Ainu	1	Unrelated	43.0	143.0	Ainu	Ainu	Nominal Categories
ala	Alamblak	5	Related by gender markers	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
ale	Aleut	2	Related for all demonstratives	54.0	-166.0	Aleut	Eskimo-Aleut	Nominal Categories
amb	Ambulas	2	Related for all demonstratives	-3.83333333333	143.0	Ndu	Sepik	Nominal Categories
ame	Amele	1	Unrelated	-5.25	145.583333333	Mabuso	Trans-New Guinea	Nominal Categories
agm	Angami	1	Unrelated	25.6666666667	94.5	Angami-Pochuri	Sino-Tibetan	Nominal Categories
apu	Apurinã	5	Related by gender markers	-9.0	-67.0	Purus	Arawakan	Nominal Categories
aeg	Arabic (Egyptian)	5	Related by gender markers	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
arp	Arapesh (Mountain)	4	Related to non-remote demonstratives	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Nominal Categories
arm	Armenian (Eastern)	3	Related to remote demonstratives	40.0	45.0	Armenian	Indo-European	Nominal Categories
amp	Arrernte (Mparntwe)	1	Unrelated	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
asm	Asmat	4	Related to non-remote demonstratives	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Nominal Categories
ath	Athpare	3	Related to remote demonstratives	27.0	87.3333333333	Himalayish	Sino-Tibetan	Nominal Categories
awp	Awa Pit	6	Related for non-human reference	1.5	-78.25	Barbacoan	Barbacoan	Nominal Categories
bab	Babungo	5	Related by gender markers	6.11666666667	10.4166666667	Wide Grassfields	Niger-Congo	Nominal Categories
bag	Bagirmi	1	Unrelated	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
brs	Barasano	3	Related to remote demonstratives	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Nominal Categories
bsq	Basque	2	Related for all demonstratives	43.0	-3.0	Basque	Basque	Nominal Categories
baw	Bawm	1	Unrelated	22.5	92.25	Kuki-Chin	Sino-Tibetan	Nominal Categories
bma	Berber (Middle Atlas)	1	Unrelated	33.0	-5.0	Berber	Afro-Asiatic	Nominal Categories
brh	Brahui	4	Related to non-remote demonstratives	28.5	67.0	Dravidian	Dravidian	Nominal Categories
but	Buriat	2	Related for all demonstratives	52.0	108.0	Mongolic	Altaic	Nominal Categories
